#Z	A
#1	2
#1	3
#2	3
#2	4
3	6
#3	7
#3	8
#3	9
#4	7
4	8
#4	9
#4	10
#4	11
4	12
4	14
#5	8
#5	10
#5	11
5	12
5	13
5	14
5	15
5	17
#6	9
#6	10
#6	11
6	12
6	13
6	14
6	15
6	16
6	17
6	18
6	19
7	12
7	13
7	14
7	15
7	16
7	17
7	18
7	19
7	20
7	21
8	13
8	14
8	15
8	16
8	17
8	18
8	19
8	20
8	21
8	22
8	23
8	24
9	16
9	17
9	18
9	19
9	20
9	21
9	22
9	23
9	24
9	25
10	17
10	18
10	19
10	20
10	21
10	22
10	23
10	24
10	25
10	26
10	27
11	19
11	20
11	21
11	22
11	23
11	24
11	25
11	26
11	27
11	28
11	29
11	30
11	31
11	32
11	33
12	20
12	21
12	22
12	23
12	24
12	25
12	26
12	27
12	28
12	29
12	30
12	31
12	32
13	23
13	24
13	25
13	26
13	27
13	28
13	29
13	30
13	31
13	32
13	33
13	34
14	25
14	26
14	27
14	28
14	29
14	30
14	31
14	32
14	33
14	34
14	35
14	36
15	27
15	28
15	29
15	30
15	31
15	32
15	33
15	34
15	35
15	36
15	37
15	38
15	39
16	29
16	30
16	31
16	32
16	33
16	34
16	35
16	36
16	37
16	38
16	39
16	40
17	31
17	32
17	33
17	34
17	35
17	36
17	37
17	38
17	39
17	40
17	41
17	42
17	43
18	33
18	34
18	35
18	36
18	37
18	38
18	39
18	40
18	41
18	42
18	43
18	44
18	45
18	46
19	35
19	36
19	37
19	38
19	39
19	40
19	41
19	42
19	43
19	44
19	45
19	46
19	47
19	48
19	49
#19	50
20	37
20	38
20	39
20	40
20	41
20	42
20	43
20	44
20	45
20	46
20	47
20	48
20	49
20	50
21	40
21	41
21	42
21	43
21	44
21	45
21	46
21	47
21	48
21	49
21	50
21	51
22	41
22	42
22	43
22	44
22	45
22	46
22	47
22	48
22	49
22	50
22	51
22	52
#22	53
23	44
23	46
23	47
23	48
23	49
23	50
23	51
23	52
23	53
#23	54
#23	55
24	45
24	46
24	47
24	48
24	49
24	50
24	51
24	52
24	53
24	54
#24	55
#24	56
#24	57
25	49
25	50
25	51
25	52
25	53
25	54
25	55
#25	56
#25	57
#25	58
#25	59
26	49
26	50
26	51
26	52
26	53
26	54
26	55
26	56
#26	57
#26	58
#26	59
#26	60
#26	61
#26	62
